,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.9815,2.497116666666667,2.495730724441278,2.119530969671023,2.868975573728636
2016-01-01,3.051,2.534376923076923,2.534376923076922,2.534376923076923,2.534376923076923
2017-01-01,2.8744,2.5712785714285715,2.5715090187699463,2.541177945103507,2.6013437277581546
2018-01-01,2.9617,2.591486666666667,2.5947319599954892,2.4093335384573473,2.782688679130225
2019-01-01,2.9372,2.614625,2.613996953095452,2.454065139978783,2.772468863102521
2020-01-01,2.988,2.6336,2.6394486852575523,2.460121296831477,2.819998394517527
2021-01-01,2.8987,2.653288888888889,2.6530925562484073,2.5035616132254543,2.8174375211874185
2022-01-01,3.1389,2.6662052631578947,2.6649227342341026,2.4814792708489573,2.841412711093121
2023-01-01,3.1634,2.68984,2.689274628281545,2.516213530715791,2.8777651527783483
2024-01-01,3.1634,2.712390476190476,2.7075927643337137,2.521513612455936,2.880153308798275
