,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.0924,2.0746009475324256,2.0730241420407145,1.9476205978551637,2.2029648198480793
2016-01-01,2.0947,2.0505711984164723,2.0505711984164714,2.0505711984164723,2.0505711984164723
2017-01-01,2.0831,2.060769602438211,2.0607451989155425,2.0338414505984934,2.086228525394091
2018-01-01,2.1136,2.048608904657064,2.0481579621276653,2.0270336992890274,2.06875054250806
2019-01-01,2.1276,2.0246120896385595,2.0248888662805893,1.9873392046714915,2.0640047543062816
2020-01-01,2.1474,2.0983925030023927,2.097536884562991,2.037709616483508,2.1576824981136706
2021-01-01,2.2098,2.087551340497443,2.086767377815366,2.0259769244792754,2.1403725389575903
2022-01-01,2.1551,2.107872756905665,2.1076656152933353,2.036552246744694,2.1842235767090594
2023-01-01,2.3567,2.0640043278587648,2.064685689031296,1.9949623142800161,2.134554473616726
2024-01-01,2.3567,2.200207623307557,2.2017788941673326,2.0427149599168635,2.3618395256030498
