,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.9815,2.843136927448977,2.8429362849162954,2.7349202586521395,2.945373212432312
2016-01-01,3.051,2.9364116118794823,2.936411611879483,2.9364116118794823,2.9364116118794823
2017-01-01,2.8744,2.981933246778311,2.9822622076340406,2.9599872563699203,3.006847002298898
2018-01-01,2.9617,3.003034279513881,3.0021636489892654,2.785594464027773,3.2203293729488576
2019-01-01,2.9372,2.9761624501994275,2.973469607242602,2.764558987687251,3.1788342438007735
2020-01-01,2.988,2.9484323936489725,2.94897698156166,2.759680922694207,3.148389585555485
2021-01-01,2.8987,3.036736248157702,3.039446359472137,2.86890864767344,3.2091485502216086
2022-01-01,3.1389,3.038427831765665,3.037168473232136,2.854357270531829,3.237924300786827
2023-01-01,3.1634,3.0018788861591155,2.9947122307136778,2.78512085752226,3.1897700250585372
2024-01-01,3.1634,3.0841377821886655,3.0848568799047706,2.881119799151324,3.2844556083562795
