,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.0924,1.9955277216561171,1.9953138118443958,1.8434075837886208,2.155341305819755
2016-01-01,2.0947,1.9626525008511546,1.9626525008511553,1.9626525008511546,1.9626525008511546
2017-01-01,2.0831,1.9644221057373434,1.9638175414684302,1.9291603738798802,1.9961974295945633
2018-01-01,2.1136,1.9588443560862572,1.9587215185565507,1.93194403962131,1.9854164623312212
2019-01-01,2.1276,1.9877122271420025,1.988429608320408,1.9482185939869292,2.029280499705519
2020-01-01,2.1474,1.9564766593905456,1.957584834179997,1.9207440383834091,1.995044367041575
2021-01-01,2.2098,2.0071040005787077,2.005579167546959,1.9498152606128758,2.064501480419445
2022-01-01,2.1551,2.0626868903237594,2.0614716316442974,1.9928895491902792,2.1292376352173474
2023-01-01,2.3567,2.0204483072037593,2.0218275908489995,1.9492785170060982,2.0946565117672016
2024-01-01,2.3567,2.188923247192049,2.193397777705066,2.0625997091550707,2.331600769477231
