,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.9815,2.6131088806608127,2.610324791057576,2.4253778405771738,2.808757734271065
2016-01-01,3.051,2.672199937225711,2.6721999372257104,2.672199937225711,2.672199937225711
2017-01-01,2.8744,2.7574143856539193,2.7575170820829187,2.747595247182137,2.768212742905874
2018-01-01,2.9617,2.7420719883827043,2.7384982247915497,2.4979100252153574,2.9696758589361947
2019-01-01,2.9372,2.8329224669130992,2.8297953041177113,2.6298281027826302,3.0582653751490096
2020-01-01,2.988,2.7756731093959033,2.7686023228167156,2.545498501387877,2.991276632583463
2021-01-01,2.8987,2.776348647448887,2.779080168159564,2.569956008129791,2.9839165755977355
2022-01-01,3.1389,2.7678986008961757,2.7691314441000148,2.5554229005478737,2.9686329916051117
2023-01-01,3.1634,2.790402834711136,2.797638649229188,2.575353075324402,3.011721140006316
2024-01-01,3.1634,2.905509597202757,2.910883369097393,2.680335101727557,3.1494418595297047
